hcpcs_code,modifier,status_code,work_rvu,non_facility_pe_rvu,facility_pe_rvu,malpractice_rvu,total_non_facility,total_facility,conversion_factor,rate_non_facility,rate_facility,rate_non_facility_adj,rate_facility_adj,locality_name,work_gpci,pe_gpci,mp_gpci
28225,,A,3.69,8.21,3.44,0.39,12.29,7.52,33.4009,410.5,251.17,387.7,240.49,SOUTH CAROLINA,1.0,0.924,0.85
28226,,A,4.55,14.39,6.17,0.98,19.92,11.7,33.4009,665.35,390.79,623.91,370.22,SOUTH CAROLINA,1.0,0.924,0.85
28230,,A,4.25,8.21,3.4,0.43,12.89,8.08,33.4009,430.54,269.88,407.54,259.09,SOUTH CAROLINA,1.0,0.924,0.85
28232,,A,3.42,7.44,3.16,0.34,11.2,6.92,33.4009,374.09,231.13,353.5,221.41,SOUTH CAROLINA,1.0,0.924,0.85
28234,,A,3.45,8.51,3.99,0.37,12.33,7.81,33.4009,411.83,260.86,388.38,248.88,SOUTH CAROLINA,1.0,0.924,0.85
28238,,A,7.76,11.81,5.04,0.95,20.52,13.75,33.4009,685.39,459.26,650.65,441.71,SOUTH CAROLINA,1.0,0.924,0.85
28240,,A,4.37,8.37,3.48,0.44,13.18,8.29,33.4009,440.22,276.89,416.77,265.86,SOUTH CAROLINA,1.0,0.924,0.85
28250,,A,5.91,11.2,4.84,0.83,17.94,11.58,33.4009,599.21,386.78,566.62,370.34,SOUTH CAROLINA,1.0,0.924,0.85
28260,,A,7.99,13.47,6.01,1.24,22.7,15.24,33.4009,758.2,509.03,717.79,487.56,SOUTH CAROLINA,1.0,0.924,0.85
28261,,A,12.78,18.67,8.56,2.19,33.64,23.53,33.4009,1123.61,785.92,1065.24,753.22,SOUTH CAROLINA,1.0,0.924,0.85
28262,,A,16.78,24.34,10.97,3.2,44.32,30.95,33.4009,1480.33,1033.76,1402.51,989.88,SOUTH CAROLINA,1.0,0.924,0.85
28264,,A,10.38,16.62,7.46,1.73,28.73,19.57,33.4009,959.61,653.66,908.75,626.05,SOUTH CAROLINA,1.0,0.924,0.85
28270,,A,4.81,9.32,4.21,0.5,14.63,9.52,33.4009,488.66,317.98,462.49,304.78,SOUTH CAROLINA,1.0,0.924,0.85
28272,,A,3.82,7.12,3.0,0.35,11.29,7.17,33.4009,377.1,239.48,357.27,230.12,SOUTH CAROLINA,1.0,0.924,0.85
28280,,A,5.2,9.17,3.9,0.54,14.91,9.64,33.4009,498.01,321.98,472.02,309.38,SOUTH CAROLINA,1.0,0.924,0.85
28285,,A,5.48,10.32,5.0,0.62,16.42,11.1,33.4009,548.44,370.75,519.14,354.95,SOUTH CAROLINA,1.0,0.924,0.85
28286,,A,4.58,7.9,3.34,0.4,12.88,8.32,33.4009,430.2,277.9,408.15,267.41,SOUTH CAROLINA,1.0,0.924,0.85
28288,,A,5.87,11.73,5.92,0.68,18.28,12.47,33.4009,610.57,416.51,577.39,398.07,SOUTH CAROLINA,1.0,0.924,0.85
28289,,A,6.73,13.47,5.57,0.84,21.04,13.14,33.4009,702.75,438.89,664.35,420.54,SOUTH CAROLINA,1.0,0.924,0.85
28291,,A,7.81,11.54,4.73,0.72,20.07,13.26,33.4009,670.36,442.9,637.45,427.28,SOUTH CAROLINA,1.0,0.924,0.85
28292,,A,7.25,13.02,5.74,0.78,21.05,13.77,33.4009,703.09,459.93,666.13,441.45,SOUTH CAROLINA,1.0,0.924,0.85
28295,,A,8.36,22.31,7.27,1.22,31.89,16.85,33.4009,1065.15,562.81,1002.41,538.24,SOUTH CAROLINA,1.0,0.924,0.85
28296,,A,8.04,17.59,5.64,0.82,26.45,14.5,33.4009,883.45,484.31,834.69,465.89,SOUTH CAROLINA,1.0,0.924,0.85
28297,,A,9.06,20.68,6.64,1.12,30.86,16.82,33.4009,1030.75,561.8,972.64,539.34,SOUTH CAROLINA,1.0,0.924,0.85
28298,,A,7.56,17.21,5.92,0.99,25.76,14.47,33.4009,860.41,483.31,811.76,463.32,SOUTH CAROLINA,1.0,0.924,0.85
28299,,A,9.06,20.84,6.68,1.13,31.03,16.87,33.4009,1036.43,563.47,977.87,540.85,SOUTH CAROLINA,1.0,0.924,0.85
