hcpcs_code,modifier,status_code,work_rvu,non_facility_pe_rvu,facility_pe_rvu,malpractice_rvu,total_non_facility,total_facility,conversion_factor,rate_non_facility,rate_facility,rate_non_facility_adj,rate_facility_adj,locality_name,work_gpci,pe_gpci,mp_gpci
0446T,,A,1.11,188.02,0.26,0.09,189.22,1.46,33.4009,6320.12,48.77,5842.38,47.65,SOUTH CAROLINA,1.0,0.924,0.85
0447T,,A,1.31,1.63,0.3,0.08,3.02,1.69,33.4009,100.87,56.45,96.33,55.29,SOUTH CAROLINA,1.0,0.924,0.85
0448T,,A,1.86,184.18,0.43,0.17,186.21,2.46,33.4009,6219.58,82.17,5751.19,80.22,SOUTH CAROLINA,1.0,0.924,0.85
0509T,,A,0.39,1.92,1.92,0.02,2.33,2.33,33.4009,77.82,77.82,72.85,72.85,SOUTH CAROLINA,1.0,0.924,0.85
0509T,26,A,0.39,0.23,0.23,0.01,0.63,0.63,33.4009,21.04,21.04,20.41,20.41,SOUTH CAROLINA,1.0,0.924,0.85
0509T,TC,A,0.0,1.69,1.69,0.01,1.7,1.7,33.4009,56.78,56.78,52.44,52.44,SOUTH CAROLINA,1.0,0.924,0.85
0583T,,A,2.63,42.27,0.97,0.16,45.06,3.76,33.4009,1505.04,125.59,1396.94,122.32,SOUTH CAROLINA,1.0,0.924,0.85
0596T,,A,2.37,57.93,0.82,0.15,60.45,3.34,33.4009,2019.08,111.56,1871.28,108.73,SOUTH CAROLINA,1.0,0.924,0.85
0597T,,A,1.02,16.78,0.52,0.06,17.86,1.6,33.4009,596.54,53.44,553.64,51.82,SOUTH CAROLINA,1.0,0.924,0.85
0605T,,A,0.0,22.64,22.64,0.07,22.71,22.71,33.4009,758.53,758.53,700.71,700.71,SOUTH CAROLINA,1.0,0.924,0.85
10004,,A,0.78,0.68,0.19,0.13,1.59,1.1,33.4009,53.11,36.74,50.73,35.61,SOUTH CAROLINA,1.0,0.924,0.85
10005,,A,1.42,2.37,0.28,0.17,3.96,1.87,33.4009,132.27,62.46,125.4,60.9,SOUTH CAROLINA,1.0,0.924,0.85
10006,,A,0.98,0.71,0.2,0.11,1.8,1.29,33.4009,60.12,43.09,57.77,42.03,SOUTH CAROLINA,1.0,0.924,0.85
10007,,A,1.76,8.28,0.37,0.27,10.31,2.4,33.4009,344.36,80.16,321.99,77.87,SOUTH CAROLINA,1.0,0.924,0.85
10008,,A,1.15,2.93,0.11,0.15,4.23,1.41,33.4009,141.29,47.1,133.1,46.06,SOUTH CAROLINA,1.0,0.924,0.85
10009,,A,2.2,9.92,0.36,0.23,12.35,2.79,33.4009,412.5,93.19,386.17,91.12,SOUTH CAROLINA,1.0,0.924,0.85
10010,,A,1.61,5.22,0.15,0.21,7.04,1.97,33.4009,235.14,65.8,220.84,64.37,SOUTH CAROLINA,1.0,0.924,0.85
10021,,A,1.0,1.88,0.24,0.14,3.02,1.38,33.4009,100.87,46.09,95.4,44.78,SOUTH CAROLINA,1.0,0.924,0.85
10030,,A,2.68,15.56,0.51,0.35,18.59,3.54,33.4009,620.92,118.24,579.67,115.19,SOUTH CAROLINA,1.0,0.924,0.85
10035,,A,1.66,8.51,0.3,0.17,10.34,2.13,33.4009,345.37,71.14,322.91,69.53,SOUTH CAROLINA,1.0,0.924,0.85
10036,,A,0.83,7.76,0.16,0.11,8.7,1.1,33.4009,290.59,36.74,270.34,35.78,SOUTH CAROLINA,1.0,0.924,0.85
10040,,A,0.89,2.42,0.3,0.08,3.39,1.27,33.4009,113.23,42.42,106.69,41.26,SOUTH CAROLINA,1.0,0.924,0.85
10060,,A,1.19,2.53,1.69,0.13,3.85,3.01,33.4009,128.59,100.54,121.52,95.6,SOUTH CAROLINA,1.0,0.924,0.85
10061,,A,2.39,3.87,2.47,0.33,6.59,5.19,33.4009,220.11,173.35,208.63,165.43,SOUTH CAROLINA,1.0,0.924,0.85
10080,,A,1.19,6.68,1.76,0.2,8.07,3.15,33.4009,269.55,105.21,251.59,99.74,SOUTH CAROLINA,1.0,0.924,0.85
10081,,A,2.44,8.46,2.13,0.48,11.38,5.05,33.4009,380.1,168.67,356.22,160.86,SOUTH CAROLINA,1.0,0.924,0.85
10120,,A,1.19,3.38,1.73,0.14,4.71,3.06,33.4009,157.32,102.21,148.04,97.11,SOUTH CAROLINA,1.0,0.924,0.85
10121,,A,2.67,5.19,2.09,0.38,8.24,5.14,33.4009,275.22,171.68,260.14,164.47,SOUTH CAROLINA,1.0,0.924,0.85
10140,,A,1.54,3.47,1.71,0.21,5.22,3.46,33.4009,174.35,115.57,164.49,110.17,SOUTH CAROLINA,1.0,0.924,0.85
10160,,A,1.22,2.56,1.36,0.16,3.94,2.74,33.4009,131.6,91.52,124.3,87.26,SOUTH CAROLINA,1.0,0.924,0.85
10180,,A,2.24,5.89,2.52,0.5,8.63,5.26,33.4009,288.25,175.69,270.79,166.79,SOUTH CAROLINA,1.0,0.924,0.85
11000,,A,0.59,1.13,0.09,0.05,1.77,0.73,33.4009,59.12,24.38,56.0,23.9,SOUTH CAROLINA,1.0,0.924,0.85
11001,,A,0.29,0.49,0.06,0.03,0.81,0.38,33.4009,27.05,12.69,25.66,12.39,SOUTH CAROLINA,1.0,0.924,0.85
11004,,A,10.53,2.46,2.46,2.12,15.11,15.11,33.4009,504.69,504.69,487.82,487.82,SOUTH CAROLINA,1.0,0.924,0.85
11005,,A,13.88,3.41,3.41,3.45,20.74,20.74,33.4009,692.73,692.73,666.79,666.79,SOUTH CAROLINA,1.0,0.924,0.85
11006,,A,12.77,3.09,3.09,2.82,18.68,18.68,33.4009,623.93,623.93,601.96,601.96,SOUTH CAROLINA,1.0,0.924,0.85
11008,,A,4.88,1.19,1.19,1.25,7.32,7.32,33.4009,244.49,244.49,235.21,235.21,SOUTH CAROLINA,1.0,0.924,0.85
11010,,A,4.09,9.21,2.63,0.75,14.05,7.47,33.4009,469.28,249.5,442.15,239.07,SOUTH CAROLINA,1.0,0.924,0.85
11011,,A,4.82,10.33,2.16,0.95,16.1,7.93,33.4009,537.75,264.87,506.77,254.63,SOUTH CAROLINA,1.0,0.924,0.85
11012,,A,6.7,12.54,2.83,1.32,20.56,10.85,33.4009,686.72,362.4,648.28,348.6,SOUTH CAROLINA,1.0,0.924,0.85
11042,,A,0.98,2.86,0.56,0.13,3.97,1.67,33.4009,132.6,55.78,124.69,53.71,SOUTH CAROLINA,1.0,0.924,0.85
11043,,A,2.63,4.12,1.09,0.42,7.17,4.14,33.4009,239.48,138.28,226.92,133.41,SOUTH CAROLINA,1.0,0.924,0.85
11044,,A,4.0,4.96,1.38,0.64,9.6,6.02,33.4009,320.65,201.07,304.85,194.36,SOUTH CAROLINA,1.0,0.924,0.85
11045,,A,0.49,0.69,0.1,0.07,1.25,0.66,33.4009,41.75,22.04,39.65,21.44,SOUTH CAROLINA,1.0,0.924,0.85
11046,,A,1.0,1.1,0.24,0.19,2.29,1.43,33.4009,76.49,47.76,72.74,46.2,SOUTH CAROLINA,1.0,0.924,0.85
11047,,A,1.76,1.74,0.44,0.35,3.85,2.55,33.4009,128.59,85.17,122.42,82.3,SOUTH CAROLINA,1.0,0.924,0.85
11055,,R,0.34,1.73,0.04,0.03,2.1,0.41,33.4009,70.14,13.69,65.6,13.44,SOUTH CAROLINA,1.0,0.924,0.85
11056,,R,0.49,1.9,0.06,0.04,2.43,0.59,33.4009,81.16,19.71,76.14,19.35,SOUTH CAROLINA,1.0,0.924,0.85
11057,,R,0.63,1.98,0.08,0.05,2.66,0.76,33.4009,88.85,25.38,83.57,24.93,SOUTH CAROLINA,1.0,0.924,0.85
11102,,A,0.64,2.16,0.2,0.06,2.86,0.9,33.4009,95.53,30.06,89.74,29.25,SOUTH CAROLINA,1.0,0.924,0.85
11103,,A,0.37,1.05,0.12,0.04,1.46,0.53,33.4009,48.77,17.7,45.9,17.2,SOUTH CAROLINA,1.0,0.924,0.85
11104,,A,0.81,2.73,0.24,0.09,3.63,1.14,33.4009,121.25,38.08,113.86,37.02,SOUTH CAROLINA,1.0,0.924,0.85
11105,,A,0.44,1.3,0.13,0.07,1.81,0.64,33.4009,60.46,21.38,56.8,20.7,SOUTH CAROLINA,1.0,0.924,0.85
11106,,A,0.98,3.43,0.29,0.12,4.53,1.39,33.4009,151.31,46.43,142.0,45.09,SOUTH CAROLINA,1.0,0.924,0.85
11107,,A,0.53,1.53,0.16,0.06,2.12,0.75,33.4009,70.81,25.05,66.63,24.34,SOUTH CAROLINA,1.0,0.924,0.85
11200,,A,0.8,1.88,1.19,0.08,2.76,2.07,33.4009,92.19,69.14,87.01,65.72,SOUTH CAROLINA,1.0,0.924,0.85
11201,,A,0.28,0.24,0.08,0.03,0.55,0.39,33.4009,18.37,13.03,17.61,12.67,SOUTH CAROLINA,1.0,0.924,0.85
11300,,A,0.59,2.24,0.18,0.06,2.89,0.83,33.4009,96.53,27.72,90.54,26.97,SOUTH CAROLINA,1.0,0.924,0.85
11301,,A,0.88,2.52,0.29,0.08,3.48,1.25,33.4009,116.24,41.75,109.44,40.61,SOUTH CAROLINA,1.0,0.924,0.85
11302,,A,1.02,2.83,0.34,0.09,3.94,1.45,33.4009,131.6,48.43,123.96,47.12,SOUTH CAROLINA,1.0,0.924,0.85
11303,,A,1.22,3.06,0.38,0.13,4.41,1.73,33.4009,147.3,57.78,138.88,56.17,SOUTH CAROLINA,1.0,0.924,0.85
11305,,A,0.78,2.18,0.13,0.07,3.03,0.98,33.4009,101.2,32.73,95.32,32.05,SOUTH CAROLINA,1.0,0.924,0.85
11306,,A,0.94,2.51,0.2,0.08,3.53,1.22,33.4009,117.91,40.75,111.13,39.84,SOUTH CAROLINA,1.0,0.924,0.85
11307,,A,1.17,2.68,0.26,0.11,3.96,1.54,33.4009,132.27,51.44,124.91,50.23,SOUTH CAROLINA,1.0,0.924,0.85
11308,,A,1.42,2.66,0.24,0.13,4.21,1.79,33.4009,140.62,59.79,133.21,58.53,SOUTH CAROLINA,1.0,0.924,0.85
11310,,A,0.78,2.49,0.24,0.07,3.34,1.09,33.4009,111.56,36.41,104.89,35.45,SOUTH CAROLINA,1.0,0.924,0.85
11311,,A,1.07,2.78,0.34,0.11,3.96,1.52,33.4009,132.27,50.77,124.66,49.36,SOUTH CAROLINA,1.0,0.924,0.85
11312,,A,1.27,3.11,0.41,0.13,4.51,1.81,33.4009,150.64,60.46,142.09,58.76,SOUTH CAROLINA,1.0,0.924,0.85
11313,,A,1.64,3.48,0.5,0.17,5.29,2.31,33.4009,176.69,77.16,167.01,75.04,SOUTH CAROLINA,1.0,0.924,0.85
11400,,A,0.88,2.84,1.3,0.11,3.83,2.29,33.4009,127.93,76.49,120.17,72.64,SOUTH CAROLINA,1.0,0.924,0.85
11401,,A,1.25,3.23,1.42,0.16,4.64,2.83,33.4009,154.98,94.52,145.98,90.12,SOUTH CAROLINA,1.0,0.924,0.85
11402,,A,1.41,3.53,1.48,0.18,5.12,3.07,33.4009,171.01,102.54,161.15,97.88,SOUTH CAROLINA,1.0,0.924,0.85
11403,,A,1.79,3.94,2.02,0.25,5.98,4.06,33.4009,199.74,135.61,188.48,129.23,SOUTH CAROLINA,1.0,0.924,0.85
11404,,A,2.06,4.5,2.13,0.36,6.92,4.55,33.4009,231.13,151.97,217.91,144.76,SOUTH CAROLINA,1.0,0.924,0.85
11406,,A,3.43,5.92,2.75,0.64,9.99,6.82,33.4009,333.67,227.79,315.44,217.61,SOUTH CAROLINA,1.0,0.924,0.85
11420,,A,1.0,2.63,1.17,0.11,3.74,2.28,33.4009,124.92,76.15,117.69,72.63,SOUTH CAROLINA,1.0,0.924,0.85
11421,,A,1.43,3.17,1.36,0.17,4.77,2.96,33.4009,159.32,98.87,150.42,94.56,SOUTH CAROLINA,1.0,0.924,0.85
11422,,A,1.64,3.53,1.87,0.21,5.38,3.72,33.4009,179.7,124.25,169.68,118.45,SOUTH CAROLINA,1.0,0.924,0.85
11423,,A,2.01,3.97,2.02,0.27,6.25,4.3,33.4009,208.76,143.62,197.33,137.14,SOUTH CAROLINA,1.0,0.924,0.85
11424,,A,2.42,4.51,2.15,0.37,7.3,4.94,33.4009,243.83,165.0,230.52,157.69,SOUTH CAROLINA,1.0,0.924,0.85
11426,,A,3.99,5.55,2.7,0.64,10.18,7.33,33.4009,340.02,244.83,322.73,234.77,SOUTH CAROLINA,1.0,0.924,0.85
11440,,A,1.02,3.12,1.8,0.11,4.25,2.93,33.4009,141.95,97.86,133.48,92.74,SOUTH CAROLINA,1.0,0.924,0.85
11441,,A,1.49,3.52,1.92,0.19,5.2,3.6,33.4009,173.68,120.24,163.8,114.42,SOUTH CAROLINA,1.0,0.924,0.85
11442,,A,1.73,3.86,2.0,0.22,5.81,3.95,33.4009,194.06,131.93,183.16,125.75,SOUTH CAROLINA,1.0,0.924,0.85
11443,,A,2.28,4.31,2.19,0.3,6.89,4.77,33.4009,230.13,159.32,217.69,152.26,SOUTH CAROLINA,1.0,0.924,0.85
11444,,A,3.11,5.09,2.45,0.43,8.63,5.99,33.4009,288.25,200.07,273.17,191.7,SOUTH CAROLINA,1.0,0.924,0.85
11446,,A,4.68,6.57,3.1,0.68,11.93,8.46,33.4009,398.47,282.57,378.39,271.3,SOUTH CAROLINA,1.0,0.924,0.85
11450,,A,3.14,9.95,3.77,0.72,13.81,7.63,33.4009,461.27,254.85,432.4,241.67,SOUTH CAROLINA,1.0,0.924,0.85
11451,,A,4.32,11.87,4.26,1.0,17.19,9.58,33.4009,574.16,319.98,539.02,304.16,SOUTH CAROLINA,1.0,0.924,0.85
11462,,A,2.93,9.89,3.7,0.64,13.46,7.27,33.4009,449.58,242.82,421.26,230.23,SOUTH CAROLINA,1.0,0.924,0.85
11463,,A,4.32,11.99,4.25,0.88,17.19,9.45,33.4009,574.16,315.64,539.32,300.44,SOUTH CAROLINA,1.0,0.924,0.85
11470,,A,3.65,10.57,3.97,0.79,15.01,8.41,33.4009,501.35,280.9,470.56,266.87,SOUTH CAROLINA,1.0,0.924,0.85
11471,,A,4.77,11.84,4.24,0.92,17.53,9.93,33.4009,585.52,331.67,550.85,316.3,SOUTH CAROLINA,1.0,0.924,0.85
11600,,A,1.59,4.14,1.45,0.21,5.94,3.25,33.4009,198.4,108.55,186.84,103.82,SOUTH CAROLINA,1.0,0.924,0.85
11601,,A,2.02,4.54,1.58,0.24,6.8,3.84,33.4009,227.13,128.26,214.4,123.05,SOUTH CAROLINA,1.0,0.924,0.85
11602,,A,2.21,4.76,1.65,0.23,7.2,4.09,33.4009,240.49,136.61,227.25,131.27,SOUTH CAROLINA,1.0,0.924,0.85
11603,,A,2.75,5.19,1.81,0.33,8.27,4.89,33.4009,276.23,163.33,261.4,157.08,SOUTH CAROLINA,1.0,0.924,0.85
11604,,A,3.09,5.82,1.93,0.4,9.31,5.42,33.4009,310.96,181.03,294.18,174.13,SOUTH CAROLINA,1.0,0.924,0.85
11606,,A,4.89,8.15,2.51,0.84,13.88,8.24,33.4009,463.6,275.22,438.71,264.64,SOUTH CAROLINA,1.0,0.924,0.85
11620,,A,1.6,4.14,1.46,0.21,5.95,3.27,33.4009,198.74,109.22,187.17,104.46,SOUTH CAROLINA,1.0,0.924,0.85
11621,,A,2.03,4.57,1.6,0.24,6.84,3.87,33.4009,228.46,129.26,215.66,124.0,SOUTH CAROLINA,1.0,0.924,0.85
11622,,A,2.35,4.87,1.7,0.26,7.48,4.31,33.4009,249.84,143.96,236.17,138.34,SOUTH CAROLINA,1.0,0.924,0.85
11623,,A,3.03,5.43,1.91,0.38,8.84,5.32,33.4009,295.26,177.69,279.58,170.94,SOUTH CAROLINA,1.0,0.924,0.85
11624,,A,3.53,6.15,2.07,0.48,10.16,6.08,33.4009,339.35,203.08,321.34,195.42,SOUTH CAROLINA,1.0,0.924,0.85
11626,,A,4.49,7.3,2.36,0.76,12.55,7.61,33.4009,419.18,254.18,396.84,244.38,SOUTH CAROLINA,1.0,0.924,0.85
11640,,A,1.63,4.23,1.49,0.2,6.06,3.32,33.4009,202.41,110.89,190.67,106.11,SOUTH CAROLINA,1.0,0.924,0.85
11641,,A,2.12,4.72,1.65,0.26,7.1,4.03,33.4009,237.15,134.61,223.86,129.11,SOUTH CAROLINA,1.0,0.924,0.85
11642,,A,2.55,5.14,1.78,0.3,7.99,4.63,33.4009,266.87,154.65,252.32,148.62,SOUTH CAROLINA,1.0,0.924,0.85
11643,,A,3.33,5.7,2.03,0.43,9.46,5.79,33.4009,315.97,193.39,299.35,186.08,SOUTH CAROLINA,1.0,0.924,0.85
11644,,A,4.23,6.94,2.36,0.59,11.76,7.18,33.4009,392.79,239.82,372.22,230.87,SOUTH CAROLINA,1.0,0.924,0.85
11646,,A,6.1,8.38,2.92,0.95,15.43,9.97,33.4009,515.38,333.01,489.34,320.84,SOUTH CAROLINA,1.0,0.924,0.85
11719,,R,0.17,0.25,0.02,0.01,0.43,0.2,33.4009,14.36,6.68,13.68,6.58,SOUTH CAROLINA,1.0,0.924,0.85
11720,,A,0.31,0.64,0.04,0.03,0.98,0.38,33.4009,32.73,12.69,30.96,12.44,SOUTH CAROLINA,1.0,0.924,0.85
11721,,A,0.53,0.77,0.06,0.05,1.35,0.64,33.4009,45.09,21.38,42.89,20.97,SOUTH CAROLINA,1.0,0.924,0.85
11730,,A,1.02,2.24,0.36,0.08,3.34,1.46,33.4009,111.56,48.77,105.47,47.45,SOUTH CAROLINA,1.0,0.924,0.85
11732,,A,0.37,0.57,0.05,0.03,0.97,0.45,33.4009,32.4,15.03,30.8,14.75,SOUTH CAROLINA,1.0,0.924,0.85
11740,,A,0.36,1.33,0.55,0.03,1.72,0.94,33.4009,57.45,31.4,53.92,29.85,SOUTH CAROLINA,1.0,0.924,0.85
11750,,A,1.54,3.04,1.14,0.14,4.72,2.82,33.4009,157.65,94.19,149.23,90.6,SOUTH CAROLINA,1.0,0.924,0.85
11755,,A,1.22,2.25,0.3,0.11,3.58,1.63,33.4009,119.58,54.44,113.31,53.13,SOUTH CAROLINA,1.0,0.924,0.85
11760,,A,1.59,3.81,1.33,0.19,5.59,3.11,33.4009,186.71,103.88,176.09,99.55,SOUTH CAROLINA,1.0,0.924,0.85
11762,,A,2.87,5.6,2.03,0.34,8.81,5.24,33.4009,294.26,175.02,278.34,168.16,SOUTH CAROLINA,1.0,0.924,0.85
11765,,A,1.19,3.6,1.39,0.09,4.88,2.67,33.4009,163.0,89.18,153.41,85.2,SOUTH CAROLINA,1.0,0.924,0.85
11770,,A,2.59,8.48,2.22,0.61,11.68,5.42,33.4009,390.12,181.03,365.54,172.34,SOUTH CAROLINA,1.0,0.924,0.85
11771,,A,5.94,13.36,5.86,1.43,20.73,13.23,33.4009,692.4,441.89,651.32,419.85,SOUTH CAROLINA,1.0,0.924,0.85
11772,,A,7.17,16.5,8.3,1.7,25.37,17.17,33.4009,847.38,573.49,796.98,543.91,SOUTH CAROLINA,1.0,0.924,0.85
11900,,A,0.51,1.14,0.16,0.05,1.7,0.72,33.4009,56.78,24.05,53.64,23.39,SOUTH CAROLINA,1.0,0.924,0.85
11901,,A,0.78,1.21,0.24,0.07,2.06,1.09,33.4009,68.81,36.41,65.38,35.45,SOUTH CAROLINA,1.0,0.924,0.85
11920,,R,1.57,4.63,1.22,0.28,6.48,3.07,33.4009,216.44,102.54,203.28,98.04,SOUTH CAROLINA,1.0,0.924,0.85
11921,,R,1.88,4.76,1.24,0.35,6.99,3.47,33.4009,233.47,115.9,219.64,111.0,SOUTH CAROLINA,1.0,0.924,0.85
11922,,R,0.48,1.42,0.17,0.08,1.98,0.73,33.4009,66.13,24.38,62.13,23.55,SOUTH CAROLINA,1.0,0.924,0.85
11950,,R,0.82,1.67,0.36,0.15,2.64,1.33,33.4009,88.18,44.42,83.19,42.76,SOUTH CAROLINA,1.0,0.924,0.85
11951,,R,1.16,2.14,0.49,0.21,3.51,1.86,33.4009,117.24,62.13,110.75,59.83,SOUTH CAROLINA,1.0,0.924,0.85
11952,,R,1.65,2.74,0.67,0.3,4.69,2.62,33.4009,156.65,87.51,148.19,84.31,SOUTH CAROLINA,1.0,0.924,0.85
11954,,R,1.8,3.04,0.73,0.35,5.19,2.88,33.4009,173.35,96.19,163.88,92.59,SOUTH CAROLINA,1.0,0.924,0.85
11960,,A,11.2,15.21,15.21,1.98,28.39,28.39,33.4009,948.25,948.25,899.72,899.72,SOUTH CAROLINA,1.0,0.924,0.85
11970,,A,7.3,6.84,6.84,1.35,15.49,15.49,33.4009,517.38,517.38,493.25,493.25,SOUTH CAROLINA,1.0,0.924,0.85
11971,,A,6.84,7.32,7.32,1.28,15.44,15.44,33.4009,515.71,515.71,490.72,490.72,SOUTH CAROLINA,1.0,0.924,0.85
11976,,R,1.74,2.35,0.36,0.3,4.39,2.4,33.4009,146.63,80.16,139.16,77.75,SOUTH CAROLINA,1.0,0.924,0.85
11980,,A,1.07,1.67,0.23,0.15,2.89,1.45,33.4009,96.53,48.43,91.54,47.1,SOUTH CAROLINA,1.0,0.924,0.85
11981,,A,1.11,1.9,0.32,0.21,3.22,1.64,33.4009,107.55,54.78,101.68,52.91,SOUTH CAROLINA,1.0,0.924,0.85
11982,,A,1.31,1.89,0.35,0.23,3.43,1.89,33.4009,114.57,63.13,108.62,61.09,SOUTH CAROLINA,1.0,0.924,0.85
11983,,A,1.86,2.13,0.46,0.34,4.33,2.66,33.4009,144.63,88.85,137.52,85.98,SOUTH CAROLINA,1.0,0.924,0.85
12001,,A,0.82,2.41,0.32,0.18,3.41,1.32,33.4009,113.9,44.09,106.88,42.38,SOUTH CAROLINA,1.0,0.924,0.85
12002,,A,1.11,2.82,0.37,0.24,4.17,1.72,33.4009,139.28,57.45,130.92,55.31,SOUTH CAROLINA,1.0,0.924,0.85
12004,,A,1.4,3.12,0.43,0.33,4.85,2.16,33.4009,161.99,72.15,152.42,69.4,SOUTH CAROLINA,1.0,0.924,0.85
12005,,A,1.92,3.97,0.34,0.43,6.32,2.69,33.4009,211.09,89.85,198.86,86.83,SOUTH CAROLINA,1.0,0.924,0.85
12006,,A,2.33,4.35,0.43,0.51,7.19,3.27,33.4009,240.15,109.22,226.55,105.57,SOUTH CAROLINA,1.0,0.924,0.85
12007,,A,2.83,4.21,0.56,0.62,7.66,4.01,33.4009,255.85,133.94,242.06,129.41,SOUTH CAROLINA,1.0,0.924,0.85
12011,,A,1.04,2.91,0.36,0.23,4.18,1.63,33.4009,139.62,54.44,131.08,52.38,SOUTH CAROLINA,1.0,0.924,0.85
12013,,A,1.19,2.9,0.21,0.27,4.36,1.67,33.4009,145.63,55.78,136.91,53.89,SOUTH CAROLINA,1.0,0.924,0.85
12014,,A,1.53,3.27,0.27,0.36,5.16,2.16,33.4009,172.35,72.15,162.24,69.66,SOUTH CAROLINA,1.0,0.924,0.85
12015,,A,1.93,3.94,0.33,0.44,6.31,2.7,33.4009,210.76,90.18,198.55,87.14,SOUTH CAROLINA,1.0,0.924,0.85
12016,,A,2.61,4.79,0.44,0.61,8.01,3.66,33.4009,267.54,122.25,252.33,118.07,SOUTH CAROLINA,1.0,0.924,0.85
12017,,A,3.1,0.74,0.74,0.78,4.62,4.62,33.4009,154.31,154.31,148.53,148.53,SOUTH CAROLINA,1.0,0.924,0.85
12018,,A,3.52,0.81,0.81,0.88,5.21,5.21,33.4009,174.02,174.02,167.55,167.55,SOUTH CAROLINA,1.0,0.924,0.85
12020,,A,2.6,6.45,2.32,0.43,9.48,5.35,33.4009,316.64,178.69,298.11,170.65,SOUTH CAROLINA,1.0,0.924,0.85
12021,,A,1.84,3.39,1.86,0.33,5.56,4.03,33.4009,185.71,134.61,175.45,128.23,SOUTH CAROLINA,1.0,0.924,0.85
12031,,A,1.95,5.6,1.81,0.23,7.78,3.99,33.4009,259.86,133.27,244.49,127.52,SOUTH CAROLINA,1.0,0.924,0.85
12032,,A,2.46,6.26,2.22,0.26,8.98,4.94,33.4009,299.94,165.0,282.75,158.06,SOUTH CAROLINA,1.0,0.924,0.85
12034,,A,2.9,6.73,2.1,0.39,10.02,5.39,33.4009,334.68,180.03,315.64,172.75,SOUTH CAROLINA,1.0,0.924,0.85
12035,,A,3.41,8.37,2.69,0.62,12.4,6.72,33.4009,414.17,224.45,389.82,214.52,SOUTH CAROLINA,1.0,0.924,0.85
12036,,A,4.12,9.35,3.07,0.9,14.37,8.09,33.4009,479.97,270.21,451.73,257.91,SOUTH CAROLINA,1.0,0.924,0.85
12037,,A,4.88,10.1,3.26,1.07,16.05,9.21,33.4009,536.08,307.62,505.09,293.99,SOUTH CAROLINA,1.0,0.924,0.85
12041,,A,2.05,5.57,1.57,0.25,7.87,3.87,33.4009,262.87,129.26,247.47,124.02,SOUTH CAROLINA,1.0,0.924,0.85
12042,,A,2.72,6.11,2.02,0.3,9.13,5.04,33.4009,304.95,168.34,287.94,161.71,SOUTH CAROLINA,1.0,0.924,0.85
12044,,A,3.11,8.07,2.16,0.44,11.62,5.71,33.4009,388.12,190.72,365.43,183.03,SOUTH CAROLINA,1.0,0.924,0.85
12045,,A,3.66,9.22,3.68,0.7,13.58,8.04,33.4009,453.58,268.54,426.67,255.69,SOUTH CAROLINA,1.0,0.924,0.85
12046,,A,4.19,11.37,4.07,1.12,16.68,9.38,33.4009,557.13,313.3,522.65,297.36,SOUTH CAROLINA,1.0,0.924,0.85
12047,,A,4.83,12.15,4.23,1.29,18.27,10.35,33.4009,610.23,345.7,572.93,328.5,SOUTH CAROLINA,1.0,0.924,0.85
12051,,A,2.27,5.91,1.91,0.29,8.47,4.47,33.4009,282.91,149.3,266.45,143.0,SOUTH CAROLINA,1.0,0.924,0.85
12052,,A,2.8,6.2,2.03,0.34,9.34,5.17,33.4009,311.96,172.68,294.52,165.83,SOUTH CAROLINA,1.0,0.924,0.85
12053,,A,3.09,7.33,2.12,0.39,10.81,5.6,33.4009,361.06,187.05,340.5,179.71,SOUTH CAROLINA,1.0,0.924,0.85
12054,,A,3.41,7.8,1.98,0.51,11.72,5.9,33.4009,391.46,197.07,369.1,189.48,SOUTH CAROLINA,1.0,0.924,0.85
12055,,A,4.39,11.07,3.54,0.88,16.34,8.81,33.4009,545.77,294.26,513.26,280.87,SOUTH CAROLINA,1.0,0.924,0.85
12056,,A,5.17,12.54,4.31,0.96,18.67,10.44,33.4009,623.59,348.71,586.95,332.95,SOUTH CAROLINA,1.0,0.924,0.85
12057,,A,5.85,12.48,4.51,1.09,19.42,11.45,33.4009,648.65,382.44,611.5,365.53,SOUTH CAROLINA,1.0,0.924,0.85
13100,,A,2.93,6.83,1.84,0.36,10.12,5.13,33.4009,338.02,171.35,318.88,164.87,SOUTH CAROLINA,1.0,0.924,0.85
13101,,A,3.41,7.88,2.48,0.4,11.69,6.29,33.4009,390.46,210.09,368.45,201.79,SOUTH CAROLINA,1.0,0.924,0.85
13102,,A,1.21,2.19,0.38,0.2,3.6,1.79,33.4009,120.24,59.79,113.68,57.82,SOUTH CAROLINA,1.0,0.924,0.85
13120,,A,3.15,6.98,2.41,0.38,10.51,5.94,33.4009,351.04,198.4,331.42,190.38,SOUTH CAROLINA,1.0,0.924,0.85
13121,,A,3.9,8.17,2.11,0.44,12.51,6.45,33.4009,417.85,215.44,394.9,207.88,SOUTH CAROLINA,1.0,0.924,0.85
13122,,A,1.4,2.23,0.42,0.21,3.84,2.03,33.4009,128.26,67.8,121.55,65.69,SOUTH CAROLINA,1.0,0.924,0.85
13131,,A,3.64,7.44,2.04,0.43,11.51,6.11,33.4009,384.44,204.08,363.4,196.75,SOUTH CAROLINA,1.0,0.924,0.85
13132,,A,4.66,8.67,2.35,0.51,13.84,7.52,33.4009,462.27,251.17,437.7,242.65,SOUTH CAROLINA,1.0,0.924,0.85
