hcpcs_code,modifier,status_code,work_rvu,non_facility_pe_rvu,facility_pe_rvu,malpractice_rvu,total_non_facility,total_facility,conversion_factor,rate_non_facility,rate_facility
25118,,A,4.4,5.83,5.83,0.84,11.07,11.07,33.4009,369.75,369.75
25119,,A,6.05,7.22,7.22,1.3,14.57,14.57,33.4009,486.65,486.65
25120,,A,6.11,6.92,6.92,1.2,14.23,14.23,33.4009,475.29,475.29
25125,,A,7.48,8.02,8.02,1.59,17.09,17.09,33.4009,570.82,570.82
25126,,A,7.55,8.04,8.04,1.61,17.2,17.2,33.4009,574.5,574.5
25130,,A,5.29,6.6,6.6,1.01,12.9,12.9,33.4009,430.87,430.87
25135,,A,6.9,7.83,7.83,1.47,16.2,16.2,33.4009,541.09,541.09
25136,,A,5.99,7.2,7.2,1.28,14.47,14.47,33.4009,483.31,483.31
25145,,A,6.38,7.32,7.32,1.34,15.04,15.04,33.4009,502.35,502.35
25150,,A,7.2,7.37,7.37,1.44,16.01,16.01,33.4009,534.75,534.75
25151,,A,7.49,7.4,7.4,1.45,16.34,16.34,33.4009,545.77,545.77
25170,,A,21.65,13.55,13.55,4.61,39.81,39.81,33.4009,1329.69,1329.69
25210,,A,5.97,6.87,6.87,1.15,13.99,13.99,33.4009,467.28,467.28
25215,,A,7.94,7.85,7.85,1.51,17.3,17.3,33.4009,577.84,577.84
25230,,A,5.24,6.12,6.12,1.02,12.38,12.38,33.4009,413.5,413.5
25240,,A,5.18,6.1,6.1,1.01,12.29,12.29,33.4009,410.5,410.5
25246,,A,1.41,4.07,0.29,0.14,5.62,1.84,33.4009,187.71,61.46
25248,,A,5.18,5.92,5.92,1.12,12.22,12.22,33.4009,408.16,408.16
25250,,A,6.6,7.38,7.38,1.4,15.38,15.38,33.4009,513.71,513.71
25251,,A,9.57,8.67,8.67,2.05,20.29,20.29,33.4009,677.7,677.7
25259,,A,3.94,8.36,8.36,0.79,13.09,13.09,33.4009,437.22,437.22
25260,,A,7.84,8.59,8.59,1.51,17.94,17.94,33.4009,599.21,599.21
25263,,A,7.84,8.69,8.69,1.67,18.2,18.2,33.4009,607.9,607.9
25265,,A,9.85,8.91,8.91,1.84,20.6,20.6,33.4009,688.06,688.06
25270,,A,6.02,6.89,6.89,1.19,14.1,14.1,33.4009,470.95,470.95
25272,,A,7.03,7.53,7.53,1.48,16.04,16.04,33.4009,535.75,535.75
25274,,A,8.72,8.08,8.08,1.64,18.44,18.44,33.4009,615.91,615.91
25275,,A,8.74,8.28,8.28,1.66,18.68,18.68,33.4009,623.93,623.93
25280,,A,7.21,7.32,7.32,1.41,15.94,15.94,33.4009,532.41,532.41
25290,,A,5.29,6.11,6.11,1.01,12.41,12.41,33.4009,414.51,414.51
25295,,A,6.55,7.07,7.07,1.26,14.88,14.88,33.4009,497.01,497.01
25300,,A,8.79,8.99,8.99,1.87,19.65,19.65,33.4009,656.33,656.33
25301,,A,8.38,7.93,7.93,1.63,17.94,17.94,33.4009,599.21,599.21
25310,,A,8.78,9.56,9.56,1.67,20.01,20.01,33.4009,668.35,668.35
25312,,A,9.57,8.43,8.43,1.88,19.88,19.88,33.4009,664.01,664.01
25315,,A,10.41,8.96,8.96,2.21,21.58,21.58,33.4009,720.79,720.79
25316,,A,12.58,10.21,10.21,2.68,25.47,25.47,33.4009,850.72,850.72
25320,,A,12.43,12.93,12.93,2.41,27.77,27.77,33.4009,927.54,927.54
25332,,A,11.45,9.53,9.53,2.22,23.2,23.2,33.4009,774.9,774.9
25335,,A,13.06,10.36,10.36,2.77,26.19,26.19,33.4009,874.77,874.77
25337,,A,11.44,11.17,11.17,2.19,24.8,24.8,33.4009,828.34,828.34
25350,,A,8.86,8.19,8.19,1.72,18.77,18.77,33.4009,626.93,626.93
25355,,A,10.27,9.05,9.05,2.19,21.51,21.51,33.4009,718.45,718.45
25360,,A,8.52,8.07,8.07,1.67,18.26,18.26,33.4009,609.9,609.9
25365,,A,12.59,10.21,10.21,2.68,25.48,25.48,33.4009,851.05,851.05
25370,,A,13.75,11.48,11.48,2.93,28.16,28.16,33.4009,940.57,940.57
25375,,A,13.21,10.41,10.41,2.82,26.44,26.44,33.4009,883.12,883.12
25390,,A,10.43,8.67,8.67,2.0,21.1,21.1,33.4009,704.76,704.76
25391,,A,13.92,10.63,10.63,2.97,27.52,27.52,33.4009,919.19,919.19
25392,,A,14.22,10.72,10.72,3.03,27.97,27.97,33.4009,934.22,934.22
25393,,A,16.15,11.34,11.34,3.44,30.93,30.93,33.4009,1033.09,1033.09
25394,,A,10.58,9.19,9.19,2.25,22.02,22.02,33.4009,735.49,735.49
25400,,A,11.0,8.91,8.91,2.16,22.07,22.07,33.4009,737.16,737.16
25405,,A,14.63,10.62,10.62,2.87,28.12,28.12,33.4009,939.23,939.23
25415,,A,13.46,10.48,10.48,2.87,26.81,26.81,33.4009,895.48,895.48
25420,,A,16.61,11.84,11.84,3.54,31.99,31.99,33.4009,1068.49,1068.49
25425,,A,13.38,10.45,10.45,2.85,26.68,26.68,33.4009,891.14,891.14
25426,,A,16.04,11.3,11.3,3.41,30.75,30.75,33.4009,1027.08,1027.08
25430,,A,9.47,9.33,9.33,2.02,20.82,20.82,33.4009,695.41,695.41
25431,,A,10.62,9.24,9.24,2.26,22.12,22.12,33.4009,738.83,738.83
25440,,A,10.41,8.69,8.69,2.0,21.1,21.1,33.4009,704.76,704.76
25441,,A,12.96,10.31,10.31,2.75,26.02,26.02,33.4009,869.09,869.09
25442,,A,10.84,9.28,9.28,2.05,22.17,22.17,33.4009,740.5,740.5
25443,,A,10.39,9.49,9.49,2.2,22.08,22.08,33.4009,737.49,737.49
25444,,A,11.13,9.46,9.46,2.15,22.74,22.74,33.4009,759.54,759.54
25445,,A,9.63,8.39,8.39,1.86,19.88,19.88,33.4009,664.01,664.01
25446,,A,16.87,11.34,11.34,3.28,31.49,31.49,33.4009,1051.79,1051.79
25447,,A,10.24,10.07,10.07,1.96,22.27,22.27,33.4009,743.84,743.84
25448,,A,11.55,10.78,10.78,2.2,24.53,24.53,33.4009,819.32,819.32
25449,,A,14.57,10.53,10.53,2.81,27.91,27.91,33.4009,932.22,932.22
25450,,A,7.86,8.14,8.14,1.67,17.67,17.67,33.4009,590.19,590.19
25455,,A,9.47,9.21,9.21,2.02,20.7,20.7,33.4009,691.4,691.4
25490,,A,9.49,8.81,8.81,2.02,20.32,20.32,33.4009,678.71,678.71
25491,,A,9.9,8.79,8.79,2.11,20.8,20.8,33.4009,694.74,694.74
25492,,A,12.34,10.29,10.29,2.62,25.25,25.25,33.4009,843.37,843.37
25500,,A,2.54,6.73,5.12,0.51,9.78,8.17,33.4009,326.66,272.89
25505,,A,5.31,11.16,8.18,1.2,17.67,14.69,33.4009,590.19,490.66
25515,,A,8.58,8.66,8.66,1.74,18.98,18.98,33.4009,633.95,633.95
25520,,A,6.34,11.38,8.25,1.34,19.06,15.93,33.4009,636.62,532.08
25525,,A,10.29,9.71,9.71,2.06,22.06,22.06,33.4009,736.82,736.82
25526,,A,12.82,11.25,11.25,2.73,26.8,26.8,33.4009,895.14,895.14
25530,,A,2.18,6.42,4.99,0.44,9.04,7.61,33.4009,301.94,254.18
25535,,A,5.23,10.1,7.26,1.08,16.41,13.57,33.4009,548.11,453.25
25545,,A,7.74,8.51,8.51,1.56,17.81,17.81,33.4009,594.87,594.87
25560,,A,2.53,6.9,5.15,0.51,9.94,8.19,33.4009,332.0,273.55
25565,,A,5.7,11.66,8.25,1.31,18.67,15.26,33.4009,623.59,509.7
25574,,A,8.58,8.86,8.86,1.75,19.19,19.19,33.4009,640.96,640.96
25575,,A,11.98,10.86,10.86,2.48,25.32,25.32,33.4009,845.71,845.71
25600,,A,2.71,8.28,6.98,0.55,11.54,10.24,33.4009,385.45,342.03
25605,,A,6.09,11.54,8.99,1.37,19.0,16.45,33.4009,634.62,549.44
25606,,A,8.1,9.42,9.42,1.69,19.21,19.21,33.4009,641.63,641.63
25607,,A,9.32,9.68,9.68,1.88,20.88,20.88,33.4009,697.41,697.41
25608,,A,10.79,10.15,10.15,2.17,23.11,23.11,33.4009,771.89,771.89
25609,,A,14.02,12.22,12.22,2.75,28.99,28.99,33.4009,968.29,968.29
25622,,A,2.72,7.24,5.6,0.54,10.5,8.86,33.4009,350.71,295.93
25624,,A,4.65,10.79,7.71,1.0,16.44,13.36,33.4009,549.11,446.24
25628,,A,9.43,8.8,8.8,1.8,20.03,20.03,33.4009,669.02,669.02
25630,,A,2.95,6.8,5.17,0.58,10.33,8.7,33.4009,345.03,290.59
25635,,A,4.49,10.14,7.22,0.96,15.59,12.67,33.4009,520.72,423.19
25645,,A,7.23,7.59,7.59,1.53,16.35,16.35,33.4009,546.1,546.1
25650,,A,3.15,7.54,5.92,0.66,11.35,9.73,33.4009,379.1,324.99
25651,,A,5.67,7.38,7.38,1.13,14.18,14.18,33.4009,473.62,473.62
25652,,A,7.86,8.26,8.26,1.57,17.69,17.69,33.4009,590.86,590.86
25660,,A,4.86,7.44,7.44,1.05,13.35,13.35,33.4009,445.9,445.9
25670,,A,7.89,7.8,7.8,1.68,17.37,17.37,33.4009,580.17,580.17
25671,,A,6.3,8.02,8.02,1.33,15.65,15.65,33.4009,522.72,522.72
25675,,A,4.77,11.46,8.75,1.13,17.36,14.65,33.4009,579.84,489.32
25676,,A,8.08,8.13,8.13,1.61,17.82,17.82,33.4009,595.2,595.2
25680,,A,6.07,8.17,8.17,1.3,15.54,15.54,33.4009,519.05,519.05
25685,,A,9.84,8.77,8.77,2.09,20.7,20.7,33.4009,691.4,691.4
25690,,A,5.58,7.66,7.66,1.2,14.44,14.44,33.4009,482.31,482.31
25695,,A,8.3,7.93,7.93,1.76,17.99,17.99,33.4009,600.88,600.88
25800,,A,9.82,8.46,8.46,1.88,20.16,20.16,33.4009,673.36,673.36
25805,,A,11.44,9.84,9.84,2.44,23.72,23.72,33.4009,792.27,792.27
25810,,A,11.65,9.92,9.92,2.2,23.77,23.77,33.4009,793.94,793.94
25820,,A,7.45,9.52,9.52,1.45,18.42,18.42,33.4009,615.24,615.24
25825,,A,9.45,11.03,11.03,1.79,22.27,22.27,33.4009,743.84,743.84
25830,,A,10.61,16.37,16.37,2.08,29.06,29.06,33.4009,970.63,970.63
25900,,A,9.37,8.81,8.81,1.88,20.06,20.06,33.4009,670.02,670.02
25905,,A,9.35,8.42,8.42,1.99,19.76,19.76,33.4009,660.0,660.0
25907,,A,7.89,7.96,7.96,1.68,17.53,17.53,33.4009,585.52,585.52
25909,,A,9.08,8.33,8.33,1.93,19.34,19.34,33.4009,645.97,645.97
25915,,A,17.08,11.01,11.01,3.63,31.72,31.72,33.4009,1059.48,1059.48
25920,,A,8.8,10.21,10.21,1.87,20.88,20.88,33.4009,697.41,697.41
25922,,A,7.46,9.63,9.63,1.59,18.68,18.68,33.4009,623.93,623.93
25924,,A,8.59,9.99,9.99,1.83,20.41,20.41,33.4009,681.71,681.71
25927,,A,8.86,14.39,14.39,1.9,25.15,25.15,33.4009,840.03,840.03
25929,,A,7.62,7.87,7.87,1.63,17.12,17.12,33.4009,571.82,571.82
25931,,A,7.84,13.91,13.91,1.67,23.42,23.42,33.4009,782.25,782.25
26010,,A,1.55,9.4,2.51,0.28,11.23,4.34,33.4009,375.09,144.96
26011,,A,2.18,12.87,2.85,0.43,15.48,5.46,33.4009,517.05,182.37
26020,,A,6.67,7.95,7.95,1.31,15.93,15.93,33.4009,532.08,532.08
26025,,A,4.95,6.17,6.17,0.99,12.11,12.11,33.4009,404.48,404.48
26030,,A,6.09,6.67,6.67,1.19,13.95,13.95,33.4009,465.94,465.94
26034,,A,6.46,8.03,8.03,1.26,15.75,15.75,33.4009,526.06,526.06
26035,,A,11.09,10.96,10.96,2.36,24.41,24.41,33.4009,815.32,815.32
26037,,A,7.38,6.96,6.96,1.44,15.78,15.78,33.4009,527.07,527.07
26040,,A,3.37,5.25,5.25,0.62,9.24,9.24,33.4009,308.62,308.62
26045,,A,5.59,6.87,6.87,1.11,13.57,13.57,33.4009,453.25,453.25
26055,,A,3.03,15.24,5.0,0.58,18.85,8.61,33.4009,629.61,287.58
26060,,A,2.84,4.0,4.0,0.45,7.29,7.29,33.4009,243.49,243.49
26070,,A,3.71,4.98,4.98,0.68,9.37,9.37,33.4009,312.97,312.97
26075,,A,3.81,5.34,5.34,0.73,9.88,9.88,33.4009,330.0,330.0
26080,,A,4.36,6.41,6.41,0.84,11.61,11.61,33.4009,387.78,387.78
26100,,A,3.7,5.65,5.65,0.79,10.14,10.14,33.4009,338.69,338.69
26105,,A,3.73,5.66,5.66,0.8,10.19,10.19,33.4009,340.36,340.36
26110,,A,3.56,5.28,5.28,0.68,9.52,9.52,33.4009,317.98,317.98
26111,,A,5.28,5.45,5.45,1.04,11.77,11.77,33.4009,393.13,393.13
26113,,A,6.95,7.07,7.07,1.31,15.33,15.33,33.4009,512.04,512.04
26115,,A,3.86,13.0,5.01,0.75,17.61,9.62,33.4009,588.19,321.32
26116,,A,6.57,6.97,6.97,1.25,14.79,14.79,33.4009,494.0,494.0
26117,,A,9.88,8.93,8.93,1.98,20.79,20.79,33.4009,694.4,694.4
26118,,A,14.44,11.81,11.81,2.91,29.16,29.16,33.4009,973.97,973.97
26121,,A,7.54,7.84,7.84,1.44,16.82,16.82,33.4009,561.8,561.8
26123,,A,10.61,10.76,10.76,2.02,23.39,23.39,33.4009,781.25,781.25
26125,,A,4.49,1.48,1.48,0.86,6.83,6.83,33.4009,228.13,228.13
26130,,A,5.45,7.11,7.11,1.17,13.73,13.73,33.4009,458.59,458.59
26135,,A,6.95,7.28,7.28,1.32,15.55,15.55,33.4009,519.38,519.38
26140,,A,6.18,7.02,7.02,1.19,14.39,14.39,33.4009,480.64,480.64
26145,,A,6.33,7.04,7.04,1.21,14.58,14.58,33.4009,486.99,486.99
26160,,A,3.48,15.55,5.1,0.66,19.69,9.24,33.4009,657.66,308.62
26170,,A,4.79,6.02,6.02,0.92,11.73,11.73,33.4009,391.79,391.79
26180,,A,5.22,6.69,6.69,1.0,12.91,12.91,33.4009,431.21,431.21
26185,,A,6.36,8.69,8.69,1.34,16.39,16.39,33.4009,547.44,547.44
26200,,A,5.51,6.26,6.26,1.08,12.85,12.85,33.4009,429.2,429.2
26205,,A,7.73,7.88,7.88,1.64,17.25,17.25,33.4009,576.17,576.17
26210,,A,5.19,6.64,6.64,1.0,12.83,12.83,33.4009,428.53,428.53
26215,,A,7.09,7.67,7.67,1.5,16.26,16.26,33.4009,543.1,543.1
26230,,A,6.31,6.59,6.59,1.22,14.12,14.12,33.4009,471.62,471.62
26235,,A,6.17,6.55,6.55,1.19,13.91,13.91,33.4009,464.61,464.61
26236,,A,5.32,6.28,6.28,1.04,12.64,12.64,33.4009,422.19,422.19
26250,,A,14.83,11.53,11.53,3.16,29.52,29.52,33.4009,985.99,985.99
26260,,A,10.88,9.12,9.12,2.33,22.33,22.33,33.4009,745.84,745.84
26262,,A,8.08,8.23,8.23,1.72,18.03,18.03,33.4009,602.22,602.22
26320,,A,4.0,5.33,5.33,0.78,10.11,10.11,33.4009,337.68,337.68
26340,,A,2.73,7.71,7.71,0.5,10.94,10.94,33.4009,365.41,365.41
26341,,A,0.89,2.66,1.13,0.17,3.72,2.19,33.4009,124.25,73.15
26350,,A,6.05,14.88,14.88,1.19,22.12,22.12,33.4009,738.83,738.83
26352,,A,7.67,14.94,14.94,1.48,24.09,24.09,33.4009,804.63,804.63
26356,,A,9.32,11.45,11.45,1.79,22.56,22.56,33.4009,753.52,753.52
26357,,A,10.73,12.54,12.54,2.28,25.55,25.55,33.4009,853.39,853.39
26358,,A,12.29,13.04,13.04,2.61,27.94,27.94,33.4009,933.22,933.22
26370,,A,7.1,14.31,14.31,1.34,22.75,22.75,33.4009,759.87,759.87
26372,,A,8.78,16.23,16.23,1.87,26.88,26.88,33.4009,897.82,897.82
26373,,A,8.2,16.06,16.06,1.74,26.0,26.0,33.4009,868.42,868.42
26390,,A,9.19,14.34,14.34,1.96,25.49,25.49,33.4009,851.39,851.39
26392,,A,10.24,16.7,16.7,2.18,29.12,29.12,33.4009,972.63,972.63
26410,,A,4.65,12.37,12.37,0.9,17.92,17.92,33.4009,598.54,598.54
26412,,A,6.32,13.29,13.29,1.21,20.82,20.82,33.4009,695.41,695.41
26415,,A,8.3,14.89,14.89,1.76,24.95,24.95,33.4009,833.35,833.35
26416,,A,9.32,15.56,15.56,1.98,26.86,26.86,33.4009,897.15,897.15
26418,,A,4.36,13.58,13.58,0.85,18.79,18.79,33.4009,627.6,627.6
26420,,A,6.77,13.45,13.45,1.28,21.5,21.5,33.4009,718.12,718.12
26426,,A,6.16,6.92,6.92,1.17,14.25,14.25,33.4009,475.96,475.96
26428,,A,7.22,14.89,14.89,1.52,23.63,23.63,33.4009,789.26,789.26
26432,,A,4.06,11.4,11.4,0.79,16.25,16.25,33.4009,542.76,542.76
26433,,A,4.58,11.53,11.53,0.89,17.0,17.0,33.4009,567.82,567.82
26434,,A,6.1,13.35,13.35,1.31,20.76,20.76,33.4009,693.4,693.4
26437,,A,5.84,12.49,12.49,1.12,19.45,19.45,33.4009,649.65,649.65
26440,,A,5.03,13.25,13.25,0.96,19.24,19.24,33.4009,642.63,642.63
26442,,A,9.51,17.42,17.42,1.84,28.77,28.77,33.4009,960.94,960.94
26445,,A,4.34,12.94,12.94,0.83,18.11,18.11,33.4009,604.89,604.89
26449,,A,8.38,9.84,9.84,1.56,19.78,19.78,33.4009,660.67,660.67
26450,,A,3.7,9.35,9.35,0.69,13.74,13.74,33.4009,458.93,458.93
26455,,A,3.67,9.38,9.38,0.69,13.74,13.74,33.4009,458.93,458.93
26460,,A,3.49,9.29,9.29,0.65,13.43,13.43,33.4009,448.57,448.57
26471,,A,5.75,12.45,12.45,1.07,19.27,19.27,33.4009,643.64,643.64
26474,,A,5.35,13.12,13.12,1.14,19.61,19.61,33.4009,654.99,654.99
26476,,A,5.22,13.07,13.07,1.12,19.41,19.41,33.4009,648.31,648.31
26477,,A,5.19,12.2,12.2,0.99,18.38,18.38,33.4009,613.91,613.91
26478,,A,5.82,12.54,12.54,1.13,19.49,19.49,33.4009,650.98,650.98
26479,,A,5.76,13.25,13.25,1.23,20.24,20.24,33.4009,676.03,676.03
26480,,A,8.78,9.56,9.56,1.66,20.0,20.0,33.4009,668.02,668.02
26483,,A,8.27,15.16,15.16,1.57,25.0,25.0,33.4009,835.02,835.02
26485,,A,7.69,15.0,15.0,1.47,24.16,24.16,33.4009,806.97,806.97
26489,,A,9.61,16.5,16.5,2.05,28.16,28.16,33.4009,940.57,940.57
26490,,A,8.39,14.43,14.43,1.77,24.59,24.59,33.4009,821.33,821.33
26492,,A,9.59,15.38,15.38,2.05,27.02,27.02,33.4009,902.49,902.49
26494,,A,8.44,14.44,14.44,1.79,24.67,24.67,33.4009,824.0,824.0
26496,,A,9.54,14.79,14.79,2.04,26.37,26.37,33.4009,880.78,880.78
26497,,A,9.52,14.78,14.78,2.04,26.34,26.34,33.4009,879.78,879.78
26498,,A,13.85,16.73,16.73,2.95,33.53,33.53,33.4009,1119.93,1119.93
26499,,A,8.94,14.61,14.61,1.91,25.46,25.46,33.4009,850.39,850.39
26500,,A,5.98,13.31,13.31,1.28,20.57,20.57,33.4009,687.06,687.06
26502,,A,7.13,13.68,13.68,1.5,22.31,22.31,33.4009,745.17,745.17
26508,,A,6.03,12.13,12.13,1.04,19.2,19.2,33.4009,641.3,641.3
26510,,A,5.46,12.28,12.28,1.05,18.79,18.79,33.4009,627.6,627.6
26516,,A,7.14,12.97,12.97,1.37,21.48,21.48,33.4009,717.45,717.45
26517,,A,8.85,14.58,14.58,1.88,25.31,25.31,33.4009,845.38,845.38
26518,,A,9.04,14.64,14.64,1.92,25.6,25.6,33.4009,855.06,855.06
26520,,A,5.33,13.73,13.73,1.02,20.08,20.08,33.4009,670.69,670.69
26525,,A,5.36,13.87,13.87,1.04,20.27,20.27,33.4009,677.04,677.04
26530,,A,6.71,7.27,7.27,1.28,15.26,15.26,33.4009,509.7,509.7
26531,,A,7.93,8.19,8.19,1.49,17.61,17.61,33.4009,588.19,588.19
26535,,A,5.27,6.3,6.3,1.0,12.57,12.57,33.4009,419.85,419.85
26536,,A,6.4,14.27,14.27,1.22,21.89,21.89,33.4009,731.15,731.15
26540,,A,6.44,12.66,12.66,1.24,20.34,20.34,33.4009,679.37,679.37
26541,,A,8.59,13.7,13.7,1.65,23.94,23.94,33.4009,799.62,799.62
26542,,A,6.78,12.78,12.78,1.3,20.86,20.86,33.4009,696.74,696.74
26545,,A,6.93,12.94,12.94,1.31,21.18,21.18,33.4009,707.43,707.43
26546,,A,10.56,17.16,17.16,2.02,29.74,29.74,33.4009,993.34,993.34
26548,,A,8.01,13.39,13.39,1.53,22.93,22.93,33.4009,765.88,765.88
26550,,A,21.14,20.42,20.42,4.5,46.06,46.06,33.4009,1538.45,1538.45
26551,,A,47.27,31.71,31.71,10.1,89.08,89.08,33.4009,2975.35,2975.35
26553,,A,46.97,31.45,31.45,10.05,88.47,88.47,33.4009,2954.98,2954.98
26554,,A,55.58,35.11,35.11,11.88,102.57,102.57,33.4009,3425.93,3425.93
26555,,A,16.65,18.99,18.99,3.55,39.19,39.19,33.4009,1308.98,1308.98
26556,,A,48.51,33.33,33.33,10.37,92.21,92.21,33.4009,3079.9,3079.9
26560,,A,5.38,12.57,12.57,1.15,19.1,19.1,33.4009,637.96,637.96
26561,,A,10.82,15.2,15.2,2.31,28.33,28.33,33.4009,946.25,946.25
26562,,A,16.26,19.49,19.49,3.46,39.21,39.21,33.4009,1309.65,1309.65
26565,,A,6.74,12.62,12.62,1.31,20.67,20.67,33.4009,690.4,690.4
26567,,A,6.82,12.81,12.81,1.33,20.96,20.96,33.4009,700.08,700.08
26568,,A,9.04,16.32,16.32,1.92,27.28,27.28,33.4009,911.18,911.18
26580,,A,19.26,19.99,19.99,4.1,43.35,43.35,33.4009,1447.93,1447.93
26587,,A,14.14,11.93,11.93,3.01,29.08,29.08,33.4009,971.3,971.3
26590,,A,18.2,18.03,18.03,3.88,40.11,40.11,33.4009,1339.71,1339.71
26591,,A,3.3,10.82,10.82,0.62,14.74,14.74,33.4009,492.33,492.33
26593,,A,5.36,12.63,12.63,1.04,19.03,19.03,33.4009,635.62,635.62
26596,,A,8.91,12.91,12.91,1.91,23.73,23.73,33.4009,792.6,792.6
26600,,A,2.54,7.2,5.97,0.49,10.23,9.0,33.4009,341.69,300.61
26605,,A,2.95,7.71,5.78,0.61,11.27,9.34,33.4009,376.43,311.96
26607,,A,5.34,8.41,8.41,1.14,14.89,14.89,33.4009,497.34,497.34
26608,,A,5.41,7.42,7.42,1.07,13.9,13.9,33.4009,464.27,464.27
26615,,A,6.89,8.18,8.18,1.33,16.4,16.4,33.4009,547.77,547.77
26641,,A,4.03,9.16,6.61,0.86,14.05,11.5,33.4009,469.28,384.11
26645,,A,4.47,9.05,6.3,0.96,14.48,11.73,33.4009,483.65,391.79
26650,,A,5.22,7.83,7.83,1.04,14.09,14.09,33.4009,470.62,470.62
26665,,A,7.74,8.24,8.24,1.32,17.3,17.3,33.4009,577.84,577.84
26670,,A,3.73,8.28,6.11,0.86,12.87,10.7,33.4009,429.87,357.39
26675,,A,4.71,9.7,6.82,1.02,15.43,12.55,33.4009,515.38,419.18
26676,,A,5.6,7.97,7.97,1.07,14.64,14.64,33.4009,488.99,488.99
26685,,A,6.89,7.95,7.95,1.19,16.03,16.03,33.4009,535.42,535.42
26686,,A,7.97,8.08,8.08,1.69,17.74,17.74,33.4009,592.53,592.53
26700,,A,3.73,7.62,5.87,0.83,12.18,10.43,33.4009,406.82,348.37
26705,,A,4.27,9.45,6.69,0.91,14.63,11.87,33.4009,488.66,396.47
26706,,A,5.18,6.45,6.45,0.89,12.52,12.52,33.4009,418.18,418.18
26715,,A,6.85,8.15,8.15,1.32,16.32,16.32,33.4009,545.1,545.1
26720,,A,1.72,4.97,4.06,0.36,7.05,6.14,33.4009,235.48,205.08
26725,,A,3.39,7.74,5.53,0.72,11.85,9.64,33.4009,395.8,321.98
26727,,A,5.28,7.36,7.36,1.04,13.68,13.68,33.4009,456.92,456.92
26735,,A,7.23,8.27,8.27,1.4,16.9,16.9,33.4009,564.48,564.48
26740,,A,2.02,5.44,4.36,0.39,7.85,6.77,33.4009,262.2,226.12
26742,,A,3.89,7.95,5.51,0.8,12.64,10.2,33.4009,422.19,340.69
26746,,A,9.56,9.23,9.23,1.82,20.61,20.61,33.4009,688.39,688.39
26750,,A,1.76,4.47,4.11,0.37,6.6,6.24,33.4009,220.45,208.42
26755,,A,3.15,7.58,5.13,0.68,11.41,8.96,33.4009,381.1,299.27
26756,,A,4.47,7.08,7.08,0.87,12.42,12.42,33.4009,414.84,414.84
26765,,A,5.71,7.74,7.74,1.12,14.57,14.57,33.4009,486.65,486.65
26770,,A,3.07,7.07,5.45,0.69,10.83,9.21,33.4009,361.73,307.62
26775,,A,3.8,8.59,6.14,0.76,13.15,10.7,33.4009,439.22,357.39
26776,,A,4.87,7.22,7.22,0.93,13.02,13.02,33.4009,434.88,434.88
26785,,A,6.44,8.01,8.01,1.25,15.7,15.7,33.4009,524.39,524.39
26820,,A,8.24,14.38,14.38,1.75,24.37,24.37,33.4009,813.98,813.98
26841,,A,7.17,13.91,13.91,1.41,22.49,22.49,33.4009,751.19,751.19
26842,,A,8.28,14.39,14.39,1.76,24.43,24.43,33.4009,815.98,815.98
26843,,A,7.59,13.83,13.83,1.62,23.04,23.04,33.4009,769.56,769.56
26844,,A,8.76,14.55,14.55,1.86,25.17,25.17,33.4009,840.7,840.7
26850,,A,6.96,12.87,12.87,1.32,21.15,21.15,33.4009,706.43,706.43
26852,,A,8.49,13.71,13.71,1.61,23.81,23.81,33.4009,795.28,795.28
26860,,A,4.76,12.49,12.49,0.91,18.16,18.16,33.4009,606.56,606.56
26861,,A,1.7,0.56,0.56,0.34,2.6,2.6,33.4009,86.84,86.84
26862,,A,7.37,13.32,13.32,1.39,22.08,22.08,33.4009,737.49,737.49
26863,,A,3.79,1.25,1.25,0.7,5.74,5.74,33.4009,191.72,191.72
26910,,A,7.6,13.08,13.08,1.49,22.17,22.17,33.4009,740.5,740.5
26951,,A,5.89,13.88,13.88,1.17,20.94,20.94,33.4009,699.41,699.41
26952,,A,6.32,12.44,12.44,1.23,19.99,19.99,33.4009,667.68,667.68
26990,,A,7.75,10.35,10.35,1.68,19.78,19.78,33.4009,660.67,660.67
26991,,A,6.88,14.01,6.43,1.41,22.3,14.72,33.4009,744.84,491.66
26992,,A,13.14,12.28,12.28,2.87,28.29,28.29,33.4009,944.91,944.91
27000,,A,5.6,4.67,4.67,0.58,10.85,10.85,33.4009,362.4,362.4
27001,,A,6.96,6.96,6.96,1.47,15.39,15.39,33.4009,514.04,514.04
27003,,A,7.61,7.87,7.87,1.63,17.11,17.11,33.4009,571.49,571.49
27005,,A,9.82,8.35,8.35,2.01,20.18,20.18,33.4009,674.03,674.03
27006,,A,9.86,8.2,8.2,1.48,19.54,19.54,33.4009,652.65,652.65
27025,,A,12.57,11.1,11.1,2.65,26.32,26.32,33.4009,879.11,879.11
27027,,A,12.71,8.9,8.9,2.63,24.24,24.24,33.4009,809.64,809.64
27030,,A,13.31,9.64,9.64,2.82,25.77,25.77,33.4009,860.74,860.74
27033,,A,13.76,10.08,10.08,2.91,26.75,26.75,33.4009,893.47,893.47
27035,,A,16.94,13.17,13.17,0.89,31.0,31.0,33.4009,1035.43,1035.43
27036,,A,14.02,11.24,11.24,2.97,28.23,28.23,33.4009,942.91,942.91
27040,,A,2.85,6.96,2.19,0.43,10.24,5.47,33.4009,342.03,182.7
